国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),Pages per Scan,Aspect,TitleHiragana,TitleRomanji,NrImages,Estimate
200019356,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１３,文久２,1862,1,冊,2,Portrait,たいせいぶかん,taiseibukan,649,False
200019358,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１４,文久３,1863,5,冊,2,Portrait,たいせいぶかん,taiseibukan,648,False
200019369,H29.12,政治・法制,文久武鑑,刊,ＭＹ－１２０１－２１５,文久４,1864,5,冊,2,Portrait,ぶんきゅうぶかん,bunkyūbukan,579,False
200019370,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１６,元治２,1865,5,冊,2,Portrait,たいせいぶかん,taiseibukan,666,False
200019371,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１７,慶応１,1865,1,冊,2,Portrait,たいせいぶかん,taiseibukan,663,False
200019373,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１８,慶応２,1866,1,冊,2,Portrait,たいせいぶかん,taiseibukan,665,False
200019375,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１９,慶応２,1866,4,冊,2,Portrait,たいせいぶかん,taiseibukan,454,False
200019387,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２２０,慶応３,1867,5,冊,2,Portrait,たいせいぶかん,taiseibukan,650,False
200019388,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２２１,慶応３,1867,1,冊,2,Portrait,たいせいぶかん,taiseibukan,222,True
200019391,H29.12,政治・法制,有司武鑑,刊,ＭＹ－１２０１－２２２,寛延１,1748,1,冊,2,Landscape,ゆうしぶかん,yūshibukan,27,False
200019394,H29.12,政治・法制,有司武鑑,刊,ＭＹ－１２０１－２２３,宝暦２,1752,1,冊,2,Landscape,ゆうしぶかん,yūshibukan,35,False
200019396,H29.12,政治・法制,太平略武鑑,刊,ＭＹ－１２０１－２２４,宝暦１４,1764,1,冊,2,Landscape,たいへいりゃくぶかん,taiheiryakubukan,21,False
200019397,H29.12,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２２５,宝暦１４,1764,1,冊,1,Landscape,しゅうぎょくぶかん,shūgyokubukan,118,False
200019399,H29.12,政治・法制,袖珍武鑑,刊,ＭＹ－１２０１－２２６,安永７,1778,1,冊,1,Landscape,しゅうちんぶかん,shūchinbukan,146,False
200019400,H29.12,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２２７,天明８,1788,1,冊,1,Landscape,しゅうぎょくぶかん,shūgyokubukan,128,False
200019401,H29.12,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２２８,天明９,1789,1,冊,1,Landscape,しゅうぎょくぶかん,shūgyokubukan,134,False
200019404,H29.12,政治・法制,万寿武鑑,刊,ＭＹ－１２０１－２２９,寛政４,1792,1,冊,1,Landscape,まんじゅぶかん,manjubukan,94,False
200019406,H29.12,政治・法制,袖玉武鑑,刊,ＭＹ－１２０１－２３０,寛政１０,1798,1,冊,1,Landscape,しゅうぎょくぶかん,shūgyokubukan,150,False
