国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,TitleHiragana,TitleRomanji,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),NrPages,Aspect,NrImages
200019375,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１９,慶応２,1866,4,冊,2,Portrait,454
200019387,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２２０,慶応３,1867,5,冊,2,Portrait,650
200019388,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２２１,［慶応３］,[1867],1,冊,2,Portrait,222
200019397,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２２５,宝暦１４,1764,1,冊,1,Landscape,118
200019399,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２２６,安永７,1778,1,冊,1,Landscape,146
200019400,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２２７,天明８,1788,1,冊,1,Landscape,128
200019401,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２２８,天明９,1789,1,冊,1,Landscape,134
200019406,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３０,寛政１０,1798,1,冊,1,Landscape,150
200019408,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３１,文化３,1806,1,冊,1,Landscape,142
200019409,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３２,文化３,1806,1,冊,1,Landscape,142
200019410,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３３,文化４,1807,1,冊,1,Landscape,140
200019411,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３４,文化４,1807,1,冊,1,Landscape,142
200019412,H29.12,政治・法制,袖玉武鑑,しゅうぎょくぶかん,shūgyokubukan,刊,ＭＹ－１２０１－２３５,文化５,1808,1,冊,1,Landscape,140
200019413,H29.12,政治・法制,袖珍武鑑,しゅうちんぶかん,shūchinbukan,刊,ＭＹ－１２０１－２３６,文化６,1809,1,冊,1,Landscape,146
